l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Power Adaptor, User Guide with Warranty Terms and Conditions|NKi511TL85S|PureBook S14|Black|Thin and Light Laptop|Processing & Multitasking|57W Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4GHz with Turbo Boost up to 4.2GHz|No|Intel Integrated Iris Xe|4.0|531||
Laptop, Power Adaptor, User Guide with Warranty Terms and Conditions|NKi511TL165S|PureBook S14|Black|Thin and Light Laptop|Processing & Multitasking|57W Adaptor|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4GHz with Turbo Boost up to 4.2GHz|No|Intel Integrated Iris Xe|4.0|532||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Dune|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|1.7 GHz Upto Max Turbo Frequency at 4.1 GHz|16|Intel Integrated UHD|2.0|533||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 5410|Inspiron|Platinum Silver|2 in 1 Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.5 GHz Upto Max Turbo Frequency at 4.5 GHz|16|Intel Integrated MX350|4.0|534||
Laptop, Battery, Adapter, Cables and User Manuals|Inspiron 5418|Inspiron|Platinum Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.5 GHz Upto Max Turbo Frequency at 4.5 GHz|16|Intel Integrated Iris Xe|4.0|535||
Laptop, Active Pen, Battery, Adapter, Cables and User Manuals|Inspiron 5410|Inspiron|Platinum Silver|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.5 GHz Upto Max Turbo Frequency at 4.5 GHz|16|Intel Integrated Iris Xe|4.0|536||
Laptop, battery, adapter, cables and user manuals|Inspiron 3511|No description available|Platinum Silver|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|10th Gen|No|No description available|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|16GB|Intel Integrated UHD|0.0|537||
Laptop, battery, adapter, cables and user manuals|G15-5515|G15|Phantom Grey|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|3.3 GHz upto max turbo frequency at 4.2 Ghz|16 GB|NVIDIA GeForce RTX 3050|0.0|538||
Laptop, Power Adaptor, User Guide, Warranty Documents|GU603HE-KR051TS|Zephyrus M16 (2021)|Off Black|Gaming Laptop|Gaming|180W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.6|Upto 40 GB|NVIDIA GeForce RTX RTX 3050|0.0|562||
Laptop, battery, adapter, cables and user manuals|Inspiron 3511|No description available|Platinum Silver|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|16GB|Intel Integrated UHD|0.0|539||
Laptop, battery, adapter, cables and user manuals|Inspiron 3505|No description available|Soft Mint|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Athlon Dual Core|No description available|Yes|256 GB|4 GB|DDR4|2.3 GHz to max turbo frequency at 3.2 Ghz|16GB|AMD Radeon AMD|0.0|540||
Laptop, Power Adapter, User Guide, Warranty Documents|15IIL05|IdeaPad 3|Platinum Grey|Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|No description available|Intel Integrated UHD|0.0|541||
Laptop, Power Adapter, User Guide, Warranty Documents|13-aw2003TU|Spectre x360 13 Series Intel EVO|Poseidon Blue|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|542||
Laptop, battery, adapter, cables and user manuals|Inspiron 3511|Inspiron|Carbon|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|1.2 GHz upto max turbo frequency at 3.4 Ghz|16GB|Intel Integrated UHD|2.0|543||
Laptop, Battery, Adapter, Cables, User Manuals|Inspiron 3505|Inspiron|Soft Mint|Notebook|Processing & Multitasking, Everyday Use|No description available|No description available|No description available|Ryzen 5 Quad Core|No description available|Yes|256 GB|8 GB|DDR4|2.1 GHz to max turbo frequency at 3.7 GHz|16|AMD Radeon Vega|4.0|544||
USB C to USB A converter|NKi510TL85S|PureBook S14|Black|Thin and Light Laptop|Processing & Multitasking|57W Adaptor|No description available|No description available|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|2.1GHz with Turbo Boost up to 4.2GHz|No description available|Intel Integrated UHD|4.0|545||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-eb0019TX|HP Envy Intel EVO|Natural Silver|Thin and Light Laptop|Processing & Multitasking|135 Watt Smart PFC Slim Adapter|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|NVIDIA GeForce GTX GTX|0.0|546||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3000|Vostro|Accent Black|Thin and Light Laptop|Everyday Use|No description available|DDR4|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz Upto Max Turbo Frequency at 4.2 GHz|16|Intel Integrated Iris Xe|2.0|547||
Laptop, Battery, Adapter, Cables and User Manuals|G15-5511|G15|Dark Shadow Grey|Gaming Laptop|Gaming, Processing & Multitasking|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|1.9 GHz to Max Turbo Frequency at 4.6 GHz|16|NVIDIA GeForce RTX 3050Ti|8.0|548||
Laptop, Battery, Adapter, Cables and User Manuals|Vostro 3400|Vostro|Accent Black|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz Upto Max Turbo Frequency at 4.2 GHz|16|Intel Integrated Iris Xe|4.0|549||
Laptop, Active Pen, battery, adapter, cables and user manuals|Inspiron 5410|No description available|Platinum Silver|2 in 1 Laptop|Processing & Multitasking|No description available|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.5 GHz upto max turbo frequency at 4.5 Ghz|No description available|NVIDIA GeForce MX350|4.0|550||
Laptop, battery, adapter, cables and user manuals|Inspiron 3511|Inspiron|Carbon|Thin and Light Laptop|Everyday Use|No description available|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|1.7 GHz upto max turbo frequency at 4.1 Ghz|16GB|Intel Integrated UHD|2.0|551||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-ea0542TU|Spectre x360 14 Intel EVO|Nightfall Black|2 in 1 Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|LPDDR4X|4.2 GHz Max Turbo Frequency|32|No description available|4.0|552||
Laptop, Battery, Adapter, Cables and User Manuals|X515JA-EJ502T|No description available|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45W AC Adapter|No description available|No description available|Core i5|10th Gen|No|No description available|8 GB|DDR4|1.0 GHz with Turbo Boost Upto 3.6 GHz|No description available|Intel Integrated UHD|4.0|553||
Laptop, Battery, Adapter, Cables and User Manuals|GV301QC-K6100TS|ROG Flow X13|Off&Black|2 in 1 Gaming Laptop|Gaming, Processing & Multitasking|100W AC Adapter|GDDR6|4 GB|Ryzen 9 Octa Core|No description available|Yes|1 TB|16 GB|LPDDR4X|3.1 GHz with Turbo Boost Upto 4.5 GHz|16|NVIDIA GeForce RTX 3050|8.0|554||
Laptop, battery, adapter, cables and user manuals|KM513UA-L503TS|VivoBook K15 OLED (2022)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|256 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|No description available|AMD Radeon AMD|0.0|555||
Laptop, Power Adaptor, User Guide, Warranty Documents|K513EA-L302TS|VivoBook K15 OLED (2022)|Indie Black|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|8 GB|DDR4|3.0 GHz Upto 4.1 GHz|No description available|Intel Integrated UHD|2.0|556||
Laptop, Battery, Adapter, Cables and User Manuals|GV301QE-K6153TS|ROG Flow X13|Off&Black|2 in 1 Gaming Laptop|Gaming, Processing & Multitasking|100W AC Adapter|GDDR6|4 GB|Ryzen 9 Octa Core|No description available|Yes|1 TB|32 GB|LPDDR4X|3.1 GHz with Turbo Boost Upto 4.5 GHz|32|NVIDIA GeForce RTX 3050 Ti|8.0|557||
Laptop, Power Adaptor, User Guide, Warranty Documents|G513QE-HF145T|ROG Strix|Eclipse Gray|Gaming Laptop|Gaming|200W AC Adapter|GDDR6|4 GB|Ryzen 9 Octa Core|No description available|Yes|1 TB|16 GB|DDR4|3.3 GHz up to 4.6 GHz|No description available|NVIDIA GeForce RTX 3050 Ti|8.0|558||
Laptop, Power Adaptor, User Guide, Warranty Documents|GU603HM-K8073TS|Zephyrus M16 (2021)|Off Black|Gaming Laptop|Gaming|240W AC Adapter|GDDR6|6 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|4.6|40|NVIDIA GeForce RTX RTX 3060|0.0|559||
Laptop, Power Adaptor, User Guide, Warranty Documents|K513EA-L523TS|VivoBook K15 OLED (2021)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|65W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|256 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|4.0|560||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ACH6|Legion 5|Phantom Blue, Shadow Black|Gaming Laptop|Gaming, Processing & Multitasking|230W Slim Tip (3-pin) Adapter|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|3.3 GHz with Turbo Boost Upto 4.2 GHz|Upto 16 GB|NVIDIA GeForce GTX 1650|6.0|563||
Laptop, Power Adapter, User Guide, Warranty Documents|15IHU6|IdeaPad Gaming 3|Shadow Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|3.1 GHz with Turbo Boost up to 4.4 GHz|No description available|NVIDIA GeForce GTX 1650|0.0|564||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITL6|IdeaPad 3|Arctic Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip (2-pin, Wall-mount) Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.2 GHz with Turbo Boost Upto 4.2 GHz|Upto 12 GB|Intel Integrated Iris Xe|4.0|565||
Laptop, Power Adapter, User Guide, Warranty Documents|16ITH6H|Legion 5 Pro|Stingray|Gaming Laptop|Gaming|No description available|GDDR6|6 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|1.9 GHz to max turbo frequency at 4.6 Ghz|No description available|NVIDIA GeForce RTX 3060|0.0|566||
Laptop, Power Adapter, User Guide, Warranty Documents|14IGL05|IdeaPad 3|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Celeron Dual Core|4th Gen|Yes|256 GB|4 GB|DDR4|Max Frequency Up to 2.8 GHz|No description available|Intel Integrated UHD|0.0|567||
Laptop, Power Adapter, User Guide, Warranty Documents|14ITL05|IdeaPad 5|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated UHD|0.0|568||
Laptop, Power Adapter, User Guide, Warranty Documents|13ALC6|Yoga 6|Abyss Blue|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|Max Turbo Boost Frequency Up to 4.0 GHz|No description available|AMD Radeon AMD|0.0|569||
Laptop, Power Adapter, User Guide, Warranty Documents|14IML05|IdeaPad 3|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Core i3|10th Gen|Yes|256 GB|8 GB|DDR4|2.1 GHz with Turbo Boost Upto 4.1 GHz|No description available|Intel Integrated UHD|0.0|570||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ARH05|Legion 5|Phantom Black|Gaming Laptop|Gaming, Processing & Multitasking|170 W Slim Tip Adapter|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|256 GB|8 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.0 GHz|Upto 32 GB|NVIDIA GeForce GTX 1650|6.0|571||
Laptop, Power Adapter, User Guide, Warranty Documents|15ITL05|IdeaPad 5|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|NVIDIA GeForce MX450|0.0|572||
Laptop, Power Adaptor, User Guide, Warranty Documents|15-EC2008AX|No description available|Shadow Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 3 Hexa Core|4th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce GTX 1650|0.0|573||
Laptop, Power Adaptor, User Guide|X515EA-BQ522TS|Vivobook 15|Transparent Silver|Laptop|Performance, Processing & Multitasking, Travel & Business|No description available|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 Ghz With Turbo Upto 4.2|Upto 20 GB|Intel Integrated Irix Xe|4.0|574||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-ec0035AU|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|4.0 GHz Max Turbo Frequency|16|AMD Radeon|6.0|575||
Laptop, Power Adapter, User Guide, Warranty Documents|15-DK2012TX|Pavilion Gaming|Shadow Black & Ultra Violet|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|3.1 GHz with Turbo Boost up to 4.4 GHz|No description available|NVIDIA GeForce RTX 3050|4.0|576||
Laptop, Power Adaptor, User Guide, Warranty Documents|TB14s ITL Yoga|Thinkbook Convertible|Mineral Grey|2 in 1 Laptop|Processing & Multitasking|65W USB-C (3-pin) AC adapter|No description available|No description available|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.8 GHz with Turbo Boost Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|0.0|577||
Laptop, Power Adaptor, User Guide, Warranty Documents|TB13s ITL Gen 2|ThinkBook 13s|Mineral Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C (3-pin) AC adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|578||
Laptop, Power Adaptor, User Guide, Warranty Documents|TB13s ITL Gen 2|ThinkBook 13s|Mineral Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C (3-pin) AC adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|579||
Laptop, Power Adaptor, User Guide, Warranty Documents|V15 ITL G2|No description available|Black|Thin and Light Laptop|Processing & Multitasking|65W round tip (3-pin) AC adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|3.0 GHz with Turbo Boost Upto 4.1 GHz|No description available|Intel Integrated UHD|0.0|580||
Laptop, Power Adaptor, User Guide, Warranty Documents|E14 AMD Gen3|Thinkpad|Black|Thin and Light Laptop|Processing & Multitasking|65W USB-C (3-pin) AC adapter|No description available|No description available|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|2.3 GHz with Turbo Boost Upto 4.2 GHz|No description available|AMD Radeon AMD|0.0|581||
Laptop, Power Adaptor, User Guide, Warranty Documents|TB13s ITL Gen 2|ThinkBook 13s|Mineral Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C (3-pin) AC adapter|No description available|No description available|Core i5|11th Gen|Yes|1 TB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|582||
Laptop, Power Adaptor, User Guide, Warranty Documents|TB13s ITL Gen 2|ThinkBook 13s|Mineral Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C (3-pin) AC adapter|No description available|No description available|Core i7|11th Gen|Yes|1 TB|16 GB|LPDDR4|2.8 GHz with Turbo Boost Upto 4.7 GHz|No description available|Intel Integrated Iris Xe|0.0|583||
Laptop, Power Adapter, User Guide, Warranty Documents|15-DK2076TX|Pavilion Gaming|Shadow Black & Ultra Violet|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|3.3 GHz with Turbo Boost Upto 4.8 GHz|No description available|NVIDIA GeForce RTX 3050|4.0|584||
Laptop, Power Adaptor, User Guide, Warranty Documents|V14 ITL G2|No description available|Iron Grey|Thin and Light Laptop|Processing & Multitasking|65W round tip (3-pin) AC adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|585||
1 Laptop, 1 Power Adaptor, 1 Power cord, User Manual|XMA2101-BV|15|Charcoal Gray|Thin and Light Laptop|Processing & Multitasking|65W Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|3.0 GHz with Turbo Boost up to 4.1 GHz|No description available|Intel Integrated UHD|0.0|586||
Laptop, Power Adaptor, User Guide, Warranty Documents|V15 -ADA|No description available|Iron Grey|Laptop|Processing & Multitasking|65W round tip (2-pin) AC adapter|No description available|No description available|Ryzen 3 Dual Core|No description available|No|No description available|4 GB|DDR4|2.6 GHz with Turbo Boost Upto 3.5 GHz|No description available|AMD Radeon AMD|0.0|587||
Laptop, Power Adaptor, User Guide, Warranty Documents|EX215-22|No description available|Black|Laptop|Everyday Use, Processing & Multitasking|45 W AC Adapter|No description available|No description available|Dual Core|No description available|Yes|256 GB|4 GB|DDR4|Base Frequency 1.20 GHz, Max Turbo Boost Frequency Up to 2.60 GHz|No description available|AMD Radeon AMD|0.0|588||
Laptop, Power Adaptor, User Guide, Warranty Documents|15s-GY0501AU|No description available|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|No description available|No description available|Ryzen 3 Dual Core|No description available|Yes|256 GB|8 GB|DDR4|2.6 GHz to max turbo frequency at 3.5 Ghz|No description available|AMD Radeon AMD|2.0|589||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-EC0007AX|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Ryzen 7 Octa Core|No description available|Yes|512 GB|16 GB|DDR4|1.8 GHz upto max turbo frequency at 4.3 Ghz|No description available|NVIDIA GeForce MX450|0.0|590||
Laptop, Power Adaptor, User Guide, Warranty Documents|14-ec0000AX|Pavilion|Natural Silver|Thin and Light Laptop|Processing & Multitasking|No description available|GDDR5|2 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|16 GB|DDR4|2.1 GHz with Turbo Boost Upto 4 GHz|No description available|NVIDIA GeForce MX450|0.0|591||
Laptop, Power Adaptor, User Guide, Warranty Documents|13-ba1505TX|HP Envy Intel EVO|Natural Silver|Thin and Light Laptop|Processing & Multitasking|65 Watt Smart PFC Adapter|GDDR6|2 GB|Core i7|11th Gen|Yes|1 TB|16 GB|DDR4|2.8 GHz with Turbo Boost Upto 4.7 GHz|No description available|NVIDIA GeForce MX450|4.0|592||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITH6|Legion 5|Phantom Blue, Shadow Black|Gaming Laptop|Gaming, Processing & Multitasking|230W Slim Tip (3-pin) AC Adadpter|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.3 GHz with Turbo Boost Upto 4.6 GHz|32|NVIDIA GeForce RTX 3050|8.0|593||
Laptop, battery, adapter, cables and user manuals|15IHU6|IdeaPad Gaming 3|Shadow Black|Gaming Laptop|Gaming|135W Slim Tip|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|3.1 GHz with Turbo Boost up to 4.4 GHz|No description available|NVIDIA GeForce GTX 1650|0.0|594||
Laptop, battery, adapter, cables and user manuals|14ITL6|IdeaPad 5 Pro|Storm Grey|Thin and Light Laptop|Processing & Multitasking|65W USB-C|GDDR6|2 GB|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|Max Frequency Up to 4.2 GHz|No description available|NVIDIA GeForce MX450|0.0|595||
Laptop, battery, adapter, cables and user manuals|15IML05|IdeaPad 3|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip|GDDR5|2 GB|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|Max Frequency Up to 4.2 GHz|No description available|NVIDIA GeForce MX330|0.0|596||
Laptop, Power Adaptor, User Guide, Warranty Documents|CB 11IJL6|IdeaPad Flex 3 Chromebook|Arctic Grey|Chromebook|Processing & Multitasking|45W USB-C (3-pin) Adapter|No description available|No description available|Celeron Dual Core|No description available|No|No description available|4 GB|LPDDR4X|1.1 GHz with Turbo Boost Upto 2.8 GHz|No description available|Intel Integrated UHD|2.0|597||
Laptop, battery, adapter, cables and user manuals|15IML05|IdeaPad 3|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|45W Round Tip|No description available|No description available|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|Max Frequency Up to 4.2 GHz|No description available|Intel Integrated UHD|0.0|598||
Laptop, Power Adaptor, User Guide, Warranty Documents|PH315-54|Predator Helios 300|Abyssal Black|Gaming Laptop|Gaming|180 W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.30 GHz with Max Turbo Boost Frequency Up to 4.60 GHz|Upto 32 GB|NVIDIA GeForce RTX 3050ti|8.0|599||
Laptop, battery, adapter, cables and user manuals|X515EA-EJ302TS|VivoBook 15 (2022)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|3.0GHz with Turbo Boost Upto 4.1GHz|No description available|Intel Integrated UHD|0.0|600||
Laptop, Power Adaptor, User Guide, Warranty Documents|PH315-54|Predator Helios 300|Abyssal Black|Gaming Laptop|Gaming|180 W AC Adapter|GDDR6|4 GB|Core i7|11th Gen|Yes|512 GB|16 GB|DDR4|2.30 GHz with Max Turbo Boost Frequency Up to 4.60 GHz|Upto 32 GB|NVIDIA GeForce RTX 3050ti|8.0|601||
Laptop, battery, adapter, cables and user manuals|X515EA-EJ302TS|VivoBook 15 (2022)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|3.0GHz with Turbo Boost Upto 4.1GHz|No description available|Intel Integrated UHD|0.0|602||
Laptop, battery, adapter, cables and user manuals|UX425EA-KI501TS|Zenbook 14 (2021)|Pine Grey|Thin and Light Laptop|Processing & Multitasking|65 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|LPDDR4X|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|603||
Laptop, battery, adapter, cables and user manuals|X515EA-EJ502TS|VivoBook 15 (2022)|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|2.4 GHz with Turbo Boost Upto 4.2 GHz|No description available|Intel Integrated Iris Xe|0.0|604||
Laptop, Power Adaptor, User Guide, Warranty Documents|F571LH-BQ429T|Vivobook Gaming|Star Black|Gaming Laptop|Gaming|150W AC Adapter|GDDR6|4 GB|Core i5|10th Gen|Yes|256 GB|8 GB|DDR4|2.5 GHz Upto 4.5 GHz|No description available|NVIDIA GeForce GTX 1650|4.0|627||
Laptop, battery, adapter, cables and user manuals|M515DA-BQ322TS|No description available|Transparent Silver|Thin and Light Laptop|Processing & Multitasking|45W AC Adapter|No description available|No description available|Ryzen 3 Dual Core|3rd Gen|Yes|256 GB|8 GB|DDR4|2.6 GHz with Turbo Boost Upto 3.5 GHz|No description available|AMD Radeon AMD|2.0|605||
Laptop, Power Adapter, User Guide, Warranty Documents|A514-54|Aspire 5|Pure Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|No description available|8 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|606||
Laptop, Power Adaptor, User Guide, Warranty Documents|A315-23|Aspire 3|Pure Silver|Notebook|Everyday Use, Processing & Multitasking|45 W AC Adapter|No description available|No description available|Ryzen 5 Quad Core|No description available|Yes|512 GB|8 GB|DDR4|2.1 GHz with Turbo Frequency Upto 3.7 GHz|No description available|AMD Radeon Vega 8|4.0|607||
Laptop, Power Adapter, User Guide, Warranty Documents|A515-56-51EV|Aspire 5|Pure Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|608||
Laptop, Power Adapter, User Guide, Warranty Documents|A515-56|Aspire 5|Pure Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|609||
Laptop, Power Adapter, User Guide, Warranty Documents|A515-56-56LN|Aspire 5|Pure Silver|Thin and Light Laptop|Processing & Multitasking|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|Yes|256 GB|8 GB|DDR4|Base Frequency 2.40 GHz, Max Turbo Boost Frequency Up to 4.20 GHz|No description available|Intel Integrated Iris Xe|4.0|610||
Laptop, Power Adaptor, User Guide, Warranty Documents|FA566IC-HN008T|TUF Gaming A15|Eclipse Gray|Gaming Laptop|Gaming|180 W AC Adapter|GDDR6|4 GB|Ryzen 7 Octa Core|No description available|Yes|1 TB|8 GB|DDR4|2.9 GHz with Turbo Boost Upto 4.2 GHz|No description available|NVIDIA GeForce RTX 3050|8.0|611||
