l_includes|l_model_number|l_series|l_color|l_type|l_suitable|l_power|l_gm_type|l_gm_capacity|l_processor_name|l_processor_generation|l_ssd|l_ssd_capacity|l_ram|l_ram_type|l_clock_speed|l_expandable_memory|l_graphic_processor|l_number_cores|l_Id_id|created_at|updated_at
Laptop, Adapter|Victus 16-e0075AX|No description available|Black|Gaming Laptop|Gaming|No description available|GDDR6|4 GB|Ryzen 5 Hexa Core|No description available|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce GTX Nvidia|0.0|207||
Laptop, Power Adaptor, User Guide, Warranty Documents|EX215-31|Extensa 15|Black|Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Pentium Quad Core|No description available|No|No description available|4 GB|DDR4|Base Frequency 1.10 GHz, Max Turbo Boost Frequency Up to 3.10 GHz|No description available|Intel Integrated UHD 605|0.0|208||
Laptop, Power Adaptor, User Guide, Warranty Documents|EX215-54|Extensa 15|Charcoal Black|Thin and Light Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|256 GB|4 GB|DDR4|Base Frequency 3.00 GHz, Max Turbo Boost Frequency Up to 4.10 GHz|No description available|Intel Integrated UHD|0.0|209||
Laptop, Power Adaptor, User Guide, Warranty Documents|A315-58|Aspire 3|Pure Silver|Notebook|Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|4.10|No description available|Intel Integrated UHD Graphics|2.0|210||
Laptop, Adapter|Victus 16-d0003TX|No description available|Black, Blue|Laptop|Gaming|No description available|GDDR6|4 GB|Core i5|11th Gen|Yes|512 GB|8 GB|DDR4|No description available|No description available|NVIDIA GeForce RTX NVIDIA|0.0|211||
Laptop, Power Adaptor, User Guide, Warranty Documents|A315-58|Aspire 3|Pure Silver|Notebook|Entertainment, Everyday Use, Gaming, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Core i5|11th Gen|No|No description available|8 GB|DDR4|4.20|No description available|Intel Integrated Iris Xe Graphics|2.0|212||
Laptop, Power Adaptor, User Guide, Warranty Documents|A314-22|Aspire 3|Charcoal Black|Laptop|Entertainment, Everyday Use, Performance, Processing & Multitasking, Travel & Business|45 W AC Adapter|No description available|No description available|Dual Core|No description available|Yes|256 GB|4 GB|DDR4|Base Frequency 1.2 GHz, Max Turbo Boost Frequency Up to 2.60 GHz|No description available|AMD Radeon AMD|0.0|213||
Laptop, Power Adaptor, User Guide, Warranty Documents|IdeaPad 5 15ITL05|IdeaPad|Graphite Grey|Thin and Light Laptop|Processing & Multitasking|65W|No description available|No description available|Core i5|11th Gen|Yes|512 GB|16 GB|DDR4|4.2|No description available|Intel Integrated Iris Xe Graphics|4.0|214||
Laptop, Power Adaptor, User Guide, Warranty Documents|15ITL05|IdeaPad|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|65W Round Tip|No description available|No description available|Core i3|11th Gen|Yes|512 GB|8 GB|DDR4|4.1|12|Intel Integrated UHD Graphics|2.0|215||
Laptop, Power Adaptor, User Guide, Warranty Documents|15IML05|IdeaPad|Platinum Grey|Thin and Light Laptop|Processing & Multitasking|45W Round Tip|No description available|No description available|Core i5|10th Gen|Yes|512 GB|8 GB|DDR4|4.2|12|Intel Integrated UHD Graphics|4.0|216||
